856337,BF1,Kỹ thuật Sinh học,480000,VCNSHVTP
981973,BF2,Kỹ thuật Thực phẩm,480000,VCNSHVTP
774274,BF-E12,Kỹ thuật thực phẩm (Chương trình tiên tiến),650000,VCNSHVTP
009104,CH1,Kỹ thuật Hóa học,420000,KCNHH
497572,CH2,Hóa học,420000,KCNHH
308561,CH3,Kỹ thuật in,420000,KCNHH
960982,CH-E11,Kỹ thuật Hóa dược (Chương trình tiên tiến),650000,KCNHH
950582,ED2,Công nghệ giáo dục,420000,KSPKT
422044,EE1,Kỹ thuật điện,480000,TDDT
375086,EE2,Kỹ thuật Điều khiển - Tự động hóa,500000,TDDT
138076,EM1,Kinh tế công nghiệp,480000,KKTVQL
404429,EM2,Quản lý công nghiệp,480000,KKTVQL
001096,EM3,Quản trị kinh doanh,480000,KKTVQL
658893,EM4,Kế toán,480000,KKTVQL
074151,ET2,Kỹ thuật Y sinh,500000,TDDT
531500,EM5,Tài chính - Ngân hàng,480000,KKTVQL
378978,EE-E18,Hệ thống điện và năng lượng tái tạo (Chương trình tiên tiến),650000,TDDT
167003,EE-E8,Kỹ thuật Điều khiển - Tự động hóa (Chương trình tiên tiến),650000,TDDT
318159,EE-EP,Tin học công nghiệp và Tự động hóa (Chương trình Việt-Pháp PFIEV),600000,TDDT
533402,EM-E13,Phân tích kinh doanh (Chương trình tiên tiến),650000,KKTVQL
944512,EM-E14,Logistics và Quản lý chuỗi cung ứng (Chương trình tiên tiến),1020000,KKTVQL
573731,ET1,Kỹ thuật Điện tử - Viễn thông,500000,TDDT
463883,ET-E4,Kỹ thuật Điện tử - Viễn thông (Chương trình tiên tiến),650000,TDDT
671282,ET-E5,Kỹ thuật Y sinh (Chương trình tiên tiến),650000,TDDT
442457,ET-E9,Hệ thống nhúng thông minh và IoT (Chương trình tiên tiến),650000,TDDT
595182,ET-E16,Truyền thông số và Kỹ thuật đa phương tiện (Chương trình tiên tiến),650000,TDDT
815049,EV1,Kỹ thuật Môi trường,420000,VKHVCNMT
852823,EV2,Quản lý Tài nguyên và Môi trường,500000,VKHVCNMT
574547,ET-LUH,Điện tử-Viễn thông - ĐH Leibniz Hannover (Đức),2000000,TDDT
237094,FL1,Tiếng Anh Khoa học Kỹ thuật và Công nghệ,480000,KNN
063532,FL2,Tiếng Anh chuyên nghiệp quốc tế,600000,KNN
136396,HE1,Kỹ thuật Nhiệt,480000,TCK
518135,IT1,CNTT: Khoa học Máy tính,500000,TCNTT
450251,IT2,CNTT: Kỹ thuật máy tính,500000,TCNTT
681163,IT-E6,Công nghệ thông tin (Việt-Nhật) (Chương trình tiên tiến),680000,TCNTT
509463,IT-E7,Công nghệ thông tin (Global ICT),680000,TCNTT
160191,IT-E10,Khoa học Dữ liệu và Trí tuệ Nhân tạo (Chương trình tiên tiến),1020000,TCNTT
757435,IT-E15,An toàn không gian số (Chương trình tiên tiến),1020000,TCNTT
848376,IT-EP,Công nghệ thông tin (Việt-Pháp) (Chương trình tiên tiến),680000,TCNTT
507394,ME1,Kỹ thuật Cơ điện tử,500000,TCK
473329,ME2,Kỹ thuật Cơ khí,480000,TCK
375848,ME-E1,Kỹ thuật Cơ điện tử (Chương trình tiên tiến),650000,TCK
495968,ME-GU,Cơ khí - Chế tạo máy - ĐH Griffith (Úc),2000000,TCK
203507,ME-LUH,Cơ điện tử - ĐH Leibniz Hannover (Đức),2000000,TCK
412450,ME-NUT,Cơ điện tử - ĐH Nagaoka (Nhật Bản),2000000,TCK
790447,MI1,Toán - Tin,480000,KTTD
877084,MI2,Hệ thống thông tin quản lý,480000,KTTD
531443,MS1,Kỹ thuật Vật liệu,420000,KKHVCNVL
126527,MS-E3,Khoa học Kỹ thuật Vật liệu (Chương trình tiên tiến),600000,KKHVCNVL
733864,PH1,Vật lý kỹ thuật,420000,VVLKT
634427,PH2,Kỹ thuật hạt nhân,420000,VVLKT
981866,PH3,Vật lý Y khoa,500000,VVLKT
626402,TE1,Kỹ thuật Ô tô,480000,TCK
350314,TE2,Kỹ thuật Cơ khí động lực,480000,TCK
034442,TE3,Kỹ thuật Hàng không,480000,TCK
385663,TE-E2,Kỹ thuật Ô tô (Chương trình tiên tiến),650000,TCK
346002,TE-EP,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),600000,TCK
050086,TX1,Kỹ thuật Dệt - May,420000,KCNDMVTT
174268,TROY-BA,Quản trị kinh doanh - ĐH Troy (Hoa Kỳ),2000000,KKTVQL
735044,TROY-IT,Khoa học máy tính - ĐH Troy (Hoa Kỳ),2000000,TCNTT
695123,ME-TN,Hệ thống cơ điện tử thông minh và Rô bốt,500000,TCK
105448,ET-TN,Điện tử Viễn thông,500000,TDDT
190494,EE-TN,Điều khiển và Tự động hóa,500000,TDDT
704602,IT-TN,Khoa học máy tính,500000,TCNTT
